algorithm;test samples;TPs;accuracy;average taxonomic overlap
baseline;10000;880;0.088;0.31256
ts+dnn(h=4,n=3600);8943;1522;0.17019;0.29847
ts+dnn(h=8,n=2400);8943;1565;0.175;0.30543
ts+concatnn(act=relu,net=20,n=2400);8943;1658;0.1854;0.35335
ts+concatnn(act=relu,net=10,h=3,n=1200);8943;1680;0.18786;0.34922
ts+concatnn(act=relu,net=20,h=3,n=1200);8943;1692;0.1892;0.36462
ts+concatnn(act=relu,net=30,h=3,n=600);8943;1642;0.18361;0.34413
ts+distknn(k=5);8943;1912;0.2138;0.45169
ts+distknn(k=10);8943;1991;0.22263;0.46171
ts+distknn(k=15);8943;2023;0.22621;0.46563
ts+distknn(k=20);8943;2042;0.22834;0.47103
ts+linproj(c=1);8943;764;0.08543;0.20042
ts+linproj(c=25);8943;1064;0.11898;0.26683
ts+linproj(c=50);8943;1171;0.13094;0.28653
