168771
Q18880995,Q1054,Q225056
Q2989168,Q18554850
Q3042181,Q56959
Q26691478,Q5663900
Q27664257,Q1088484
Q26697501,Q5663900
Q16038842,Q3308902
Q2330966,Q177332
Q17502788,Q197936
Q5204289,Q15630508
Q2372359,Q13357858
Q7570298,Q93301
Q6430989,Q27044265
Q18881457,Q1096,Q687521
Q27607067,Q13357858
Q26695187,Q5663900
Q1385229,Q1981968
Q3057882,Q3006989
Q847950,Q699405,Q3947
Q20819639,Q38867,Q167676,Q504027
Q16828019,Q2095
Q4024462,Q3777666
Q18368425,Q700828
Q13506436,Q13357858
Q22080713,Q15052056,Q10864048,Q183366
Q38418,Q144
Q1930418,Q39715
Q6017467,Q34379
Q18557865,Q1076481,Q18558133
Q3529414,Q3133901
Q424367,Q3777605
Q610266,Q2912397
Q25964553,Q207694
Q4596837,Q376055
Q5332186,Q1076078
Q26693114,Q5663900
Q328325,Q1294787
Q25839974,Q853614
Q2110210,Q289005
Q2883726,Q1872263,Q11707
Q3827008,Q3777726
Q3196124,Q2701306
Q3182577,Q179086
Q184698,Q1303167
Q13635553,Q1420
Q2560254,Q214190
Q783459,Q223945
Q7320602,Q1420
Q11782840,Q3270632
Q5070805,Q61061
Q5119080,Q11436
Q26699555,Q5663900
Q2353620,Q13357858
Q21050458,Q1787111
Q15726688,Q1656682
Q27348428,Q13357858
Q20073687,Q21674689
Q946144,Q17709279
Q932522,Q16947618
Q7429734,Q11436
Q905979,Q216916
Q2099945,Q1329925
Q1947319,Q18286251
Q18881156,Q1089,Q1374075
Q2247929,Q44
Q26701271,Q5663900
Q19000525,Q12136
Q4047934,Q13218505
Q650,Q19605,Q207712,Q19753344
Q7246183,Q765633
Q6819244,Q132050
Q7293461,Q34379
Q16982223,Q11436
Q7003443,Q18087975
Q190403,Q1642862
Q2083292,Q170483
Q1275640,Q119716
Q27606960,Q13357858
Q56510,Q579137
Q2860577,Q635734,Q17132038
Q9288,Q34049,Q615948
Q2404686,Q46169,Q15645212
Q15822847,Q11446
Q14645,Q676202
Q19000425,Q12136
Q18556410,Q3269466
Q3273642,Q21976260
Q19841382,Q764802
Q310725,Q82595
Q3649178,Q1125341
Q24439885,Q35120
Q14752541,Q593283
Q336059,Q24925
Q13552690,Q7884789
Q673079,Q6498663
Q27340410,Q13357858
Q1908925,Q123705
Q1386680,Q13357858
Q21292820,Q286471
Q18882345,Q1843,Q558574
Q3743851,Q2624432
Q3837433,Q1073138
Q26705229,Q204179,Q13099336,Q5433715
Q778873,Q3329375
Q20819299,Q55488
Q2102521,Q3270632
Q9280616,Q11190742
Q2101354,Q13357858
Q902174,Q133139
Q26694559,Q5663900
Q534118,Q51606,Q267753,Q19773206
Q4792467,Q5254073
Q462174,Q11173
Q17143535,Q34379
Q4113741,Q17376908,Q2001982
Q3090142,Q910284
Q935780,Q309
Q4967118,Q11436
Q22980727,Q41207
Q1216209,Q9192973
Q7669210,Q1420
Q5060322,Q16939905
Q47728,Q1914636
Q779940,Q40397
Q2955393,Q13406554
Q27049136,Q13357858
Q18975795,Q12136
Q1989945,Q14788575,Q14921981,Q21856567
Q56249,Q3575552
Q4115182,Q432
Q1858336,Q13136
Q27164496,Q599683
Q18559580,Q1939559,Q486839
Q4134417,Q11436
Q3975987,Q3777653
Q1641744,Q309
Q27625748,Q13357858
Q1063383,Q2607934
Q30005,Q668284
Q15628287,Q5551886
Q15145537,Q728937
Q24542470,Q15966903,Q24439885
Q9318902,Q7889
Q3668413,Q192874
Q946663,Q7272
Q5459792,Q11053
Q531507,Q181394
Q26696602,Q5663900
Q1473981,Q15361145
Q1293452,Q1211290,Q692312
Q303826,Q3142,Q429220
Q4200878,Q9089
Q196683,Q13389713
Q56472,Q19860,Q56984
Q3817760,Q1051772
Q589183,Q2085518
Q18881011,Q1086,Q1374122
Q27320906,Q22731
Q9004193,Q309
Q5275213,Q11436
Q2522743,Q13357858
Q3281372,Q18558086
Q4241789,Q6619802
Q2503599,Q14509381
Q18928381,Q12136,Q1983841,Q2076966
Q26691080,Q5663900
Q1640406,Q11173
Q2073858,Q15061650
Q1410525,Q13357858
Q21822127,Q206592,Q170877
Q27535511,Q13357858
Q1575478,Q15710038
Q1028106,Q625151
Q7565543,Q93301
Q2476668,Q15061650
Q3402519,Q41298
Q18020116,Q101352
Q23901123,Q21945604
Q20669276,Q268378
Q20045609,Q20127274
Q1141033,Q192874,Q18679685
Q4117387,Q944806
Q148571,Q811430,Q2084929,Q1307347,Q1497384
Q2836966,Q2870166
Q19309440,Q1559695
Q7592889,Q11436
Q1027904,Q41254
Q2737668,Q8134
Q17412508,Q1543102
Q6164206,Q11436
Q4048685,Q164400
Q19000988,Q12136
Q902978,Q51739
Q889517,Q1135221
Q621512,Q638328
Q83479,Q1936640
Q15624046,Q223315
Q14469408,Q26540
