ts+kriknn(k=15&r=1)
interval,0.1,0.4
total,25638
labeled,24100
Q12136,Q13406463,Q4164871,Q33384,Q2095,Q34770,Q25295,Q15056995,Q846110,Q2235308,Q18608583,Q1539532,Q4167410,Q15623573,Q11796413,Q811704,Q17524420,Q151885,Q15707583,Q1144661,Q223393,Q10943,Q618779,Q417841,Q15056993,Q11173,Q22675015,Q15057021,Q40231,Q958314,Q3231690,Q193622,Q41176,Q15126161,Q45762,Q205892,Q41710,Q1075,Q56019,Q189962,Q15809678,Q18679117,Q205464,Q746549,Q559026,Q1875621,Q2301325,Q28640,Q38829,Q16335296,Q31629,Q191067,Q11344,Q315,Q1269299,Q1914636,Q48204,Q167270,Q23866334,Q3311537,Q4830453,Q18697490,Q3320743,Q1372384,Q15304943,Q20741022,Q502895,Q15617994,Q43577,Q8047,Q655697,Q15275719,Q929833,Q15061018,Q16103215,Q1292279,Q1441305,Q20087698,Q1183543,Q133346,Q15104814,Q16334295,Q39367,Q427626,Q15259995,Q2662430,Q636497,Q12737077,Q15057020,Q1968435,Q1372372,Q736917,Q15711994,Q355567,Q618200,Q131669,Q22706,Q23702033,Q1428357,Q20011627
208,142,133,94,88,78,72,57,47,40,31,29,26,25,19,19,19,16,16,15,15,14,13,13,13,13,12,12,12,11,11,11,11,11,10,10,10,10,9,9,9,8,8,8,8,8,8,8,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Q8054,Q7187,Q417841,Q11436,Q2095,Q898273,Q277338,Q11053,Q20747295,Q216916,Q79529,Q743004,Q11446,Q121998,Q139677,Q1420,Q420927,Q3270632,Q34379,Q15061650,Q204179,Q14864431,Q427087,Q11173,Q21674689,Q3947,Q123705,Q201448,Q37732,Q41415,Q1076105,Q5433715,Q18679149,Q407355,Q22269626,Q12136,Q21224061,Q13276,Q477248,Q811979,Q2041172,Q15916867,Q899033,Q3579211,Q10943,Q178,Q239617,Q9266,Q834028,Q14599285,Q14904219,Q22275740,Q2223649,Q14866076,Q12639,Q11460,Q1349015,Q41176,Q33475,Q19860,Q500834,Q22272379,Q22244511,Q14820916,Q39546,Q2457980,Q7802,Q21173799,Q14901717,Q30046,Q21105147,Q1051772,Q2389789,Q14859566,Q56061,Q34486,Q21132909,Q358,Q21158538,Q13219666,Q180173,Q3454956,Q22251826,Q22325940,Q47574,Q9053,Q46169,Q3273544,Q51739,Q13360264,Q7366,Q7852566,Q640506,Q22250811,Q24781392,Q43229,Q22244406,Q3914,Q5367,Q22325677
7462,5909,625,216,135,107,85,80,72,71,68,62,53,53,50,46,46,44,44,41,39,39,36,36,35,34,31,31,31,30,29,29,27,25,22,22,21,20,20,20,20,20,20,20,19,19,18,17,16,16,16,16,16,15,15,15,14,14,14,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10
P279,P703,P352,P637,P351,P644,P645,P2548,P2393,P702,P688,P2888,P686,P527,P31,P646,P373,P361,P910,P18,P128,P17,P2926,P495,P591,P681,P227,P641,P699,P671,P571,P138,P856,P639,P360,P155,P156,P1001,P131,P682,P2892,P349,P1748,P625,P680,P486,P705,P1057,P1394,P353,P1343,P176,P508,P494,P1014,P935,P354,P1086,P220,P2812,P1148,P493,P366,P1296,P1417,P594,P704,P1995,P492,P593,P557,P268,P1074,P1330,P231,P244,P276,P303,P585,P673,P186,P460,P684,P1051,P580,P274,P3245,P137,P589,P2354,P2425,P61,P1482,P1889,P1402,P582,P407,P577,P1687,P1550
25638,13299,7323,7193,5872,5667,5667,5622,5593,4696,4215,3799,3384,2626,2282,2000,1609,1184,1119,1101,840,750,750,379,367,222,212,195,181,155,138,126,125,124,120,111,109,105,104,103,102,94,91,90,87,83,80,79,76,75,74,73,67,65,62,62,61,60,59,58,54,52,46,43,43,42,41,37,37,36,32,30,28,28,28,28,27,27,26,25,24,23,23,23,22,22,21,21,20,20,19,19,19,18,18,18,18,17,17,16

# mostly proteins and genes
# Q8054 = protein
# Q7187 = gene
# P279 = subclass of
# P703 = found in taxon
# P352 = UniProt ID
# P637 = RefSeq Protein ID
# P351 = Entrez Gene ID
# P644 = genomic start
# P645 = genomic end
# P2548 = strand orientation
# P2393 = NCBI Locus tag
# P702 = encoded by
# P688 = encodes
